ac_year,state_name,district_code,district_name,vilcd,vilname,schcd,schname,habname,blkname,schmgt_desc,schcat_desc,rururb,lat,long
2015-16,Mizoram                       ,1504,CHAMPHAI,150401025,VAPAR,15040102502,GOVT. VAPAR P/S,VAPAR,"SDEO, CHAMPHAI",Department of Education,Primary,Rural,23.619199,93.35297
2015-16,Mizoram                       ,1504,CHAMPHAI,150401025,VAPAR,15040102503,VAPAR ENG. MEDIUM SCHOOL,VAPAR,"SDEO, CHAMPHAI",Pvt. Unaided,Primary with Upper Primary,Rural,23.62046264,93.35150063
2015-16,Mizoram                       ,1504,CHAMPHAI,150401025,VAPAR,15040102504,VAPAR RMSA SECONDARY SCHOOL,VAPAR,"DEO, CHAMPHAI",RMSA                                                                       ,Secondary Only,Rural,23.619324,93.35349
2015-16,Mizoram                       ,1504,CHAMPHAI,150401025,VAPAR,15040102505,"EMANUEL ADVENTIST ENG. SCHOOL, VAPAR",VAPAR,"SDEO, CHAMPHAI",Church                                                                     ,Primary with Upper Primary,Rural,23.620202,93.35182
2015-16,Mizoram                       ,1504,CHAMPHAI,150401026,KHUANGPHAH,15040102601,KHUANGPHAH M/S (ADHOC),KHUANGPHAH,"SDEO, CHAMPHAI",ADHOC AIDED                                                                ,Upper Primary only,Rural,23.773886,93.380139
2015-16,Mizoram                       ,1504,CHAMPHAI,150401026,KHUANGPHAH,15040102602,GOVT. KHUANGPHAH P/S,KHUANGPHAH,"SDEO, CHAMPHAI",Department of Education,Primary,Rural,23.77765743,93.3796075
2015-16,Mizoram                       ,1504,CHAMPHAI,150401027,TUALCHENG,15040102701,GOVT. TUALCHENG M/S,TUALCHENG,"SDEO, CHAMPHAI",Department of Education,Upper Primary only,Rural,23.72325357,93.30205679
2015-16,Mizoram                       ,1504,CHAMPHAI,150401027,TUALCHENG,15040102702,GOVT. TUALCHENG P/S,TUALCHENG,"SDEO, CHAMPHAI",Department of Education,Primary,Rural,23.7224727,93.30499649
2015-16,Mizoram                       ,1504,CHAMPHAI,150401027,TUALCHENG,15040102704,TUALCHENG HIGH SCHOOL (ADHOC),TUALCHENG,"DEO, CHAMPHAI",ADHOC AIDED                                                                ,Secondary Only,Rural,23.72682881,93.30068082
2015-16,Mizoram                       ,1504,CHAMPHAI,150401028,MURLEN,15040102801,GOVT. MURLEN M/S,MURLEN,"SDEO, CHAMPHAI",Department of Education,Upper Primary only,Rural,23.65910838,93.28283072
2015-16,Mizoram                       ,1504,CHAMPHAI,150401028,MURLEN,15040102802,GOVT. MURLEN P/S,MURLEN,"SDEO, CHAMPHAI",Department of Education,Primary,Rural,23.66298019,93.28480482
2015-16,Mizoram                       ,1504,CHAMPHAI,150401029,LUNGPHUNLIAN,15040102901,GOVT. LUNGPHUNLIAN M/S,LUNGPHUNLIAN,"SDEO, CHAMPHAI",Department of Education,Upper Primary only,Rural,23.75850574,93.30410063
2015-16,Mizoram                       ,1504,CHAMPHAI,150401029,LUNGPHUNLIAN,15040102902,GOVT. LUNGPHUNLIAN P/S,LUNGPHUNLIAN,"SDEO, CHAMPHAI",Department of Education,Primary,Rural,23.75893289,93.30417573
2015-16,Mizoram                       ,1504,CHAMPHAI,150401030,PAMCHUNG,15040103001,GOVT. PAMCHUNG P/S,PAMCHUNG,"SDEO, CHAMPHAI",Department of Education,Primary,Rural,23.725131,93.238588
2015-16,Mizoram                       ,1504,CHAMPHAI,150401030,PAMCHUNG,15040103002,PAMCHUNG UP/S (SSA),PAMCHUNG,"SDEO, CHAMPHAI",SSA                                                                        ,Upper Primary only,Rural,23.724309,93.238542
2015-16,Mizoram                       ,1504,CHAMPHAI,150401031,DINTHAR,15040103101,GOVT. DINTHAR P/S,DINTHAR VENG,"SDEO, CHAMPHAI",Department of Education,Primary,Urban,23.47034449,93.32301021
2015-16,Mizoram                       ,1504,CHAMPHAI,150401032,VENGTHLANG NORTH,15040103202,CHAMPHAI HIGHER SECONDARY,VENGTHLANG NORTH,"DEO, CHAMPHAI",Pvt. Unaided,Higher Secondary only/Jr. College,Urban,23.482643,93.321579
2015-16,Mizoram                       ,1504,CHAMPHAI,150401033,ZION,15040103301,GOVT. B.M. P/S,ZION VENG,"SDEO, CHAMPHAI",Department of Education,Primary,Urban,23.47754805,93.33338767
2015-16,Mizoram                       ,1504,CHAMPHAI,150402001,KHAWZAWL I,15040200103,"ST. JOSEPH SCHOOL, KHAWZAWL","HERMON, ELECTRIC, KHAWPUITAN ","SDEO, KHAWZAWL",Church                                                                     ,Primary with Upper Primary,Urban,23.4984947,93.19129229
2015-16,Mizoram                       ,1504,CHAMPHAI,150402001,KHAWZAWL I,15040200104,GOVT. KHAWZAWL P/S-IV,"HERMON, ELECTRIC, KHAWPUITAN ","SDEO, KHAWZAWL",Department of Education,Primary,Urban,23.51500367,93.19096774
2015-16,Mizoram                       ,1504,CHAMPHAI,150402002,KHAWZAWL II,15040200203,GOVT. KHAWZAWL P/S-VII,VENGTHAR,"SDEO, KHAWZAWL",Department of Education,Primary,Urban,23.51308527,93.18916529
2015-16,Mizoram                       ,1504,CHAMPHAI,150402002,KHAWZAWL II,15040200204,"PRESBYTERIAN ENGLISH SCHOOL, KHAWZAWL",VENGTHAR,"SDEO, KHAWZAWL",Church                                                                     ,Primary with Upper Primary,Urban,23.51764757,93.18619072
2015-16,Mizoram                       ,1504,CHAMPHAI,150402002,KHAWZAWL II,15040200205,GOVT. KHAWZAWL M/S-II,VENGTHAR,"SDEO, KHAWZAWL",Department of Education,Upper Primary only,Urban,23.51641786,93.18686128
2015-16,Mizoram                       ,1504,CHAMPHAI,150402002,KHAWZAWL II,15040200206,"MODEL HIGH SCHOOL, KHAWZAWL (ADHOC)",VENGTHAR,"DEO, CHAMPHAI",ADHOC AIDED                                                                ,Secondary Only,Urban,23.51392642,93.18918407
2015-16,Mizoram                       ,1504,CHAMPHAI,150402002,KHAWZAWL II,15040200207,"PRESBYTERIAN ENG. MEDIUM SCHOOL, KHAWZAWL (HIGH SCHOOL SECTION)",VENGTHAR,"DEO, CHAMPHAI",Pvt. Unaided,Secondary Only,Urban,23.517715,93.186203
2015-16,Mizoram                       ,1504,CHAMPHAI,150402003,KHAWZAWL III,15040200302,"GOVT. LITTLE FLOWER SCHOOL M/S, KHAWZAWL",DINTHAR,"SDEO, KHAWZAWL",Department of Education,Upper Primary only,Urban,23.519228,93.18814
2015-16,Mizoram                       ,1504,CHAMPHAI,150402003,KHAWZAWL III,15040200304,"LITTLE FLOWER SCHOOL P/S (SSA), KHAWZAWL",DINTHAR,"SDEO, KHAWZAWL",SSA                                                                        ,Primary,Urban,23.519217,93.188084
2015-16,Mizoram                       ,1504,CHAMPHAI,150402003,KHAWZAWL III,15040200305,"GRACE FOUNDATION SCHOOL, KHAWZAWL",DINTHAR,"SDEO, KHAWZAWL",Pvt. Unaided,Primary with Upper Primary,Urban,23.5214178,93.18855107
2015-16,Mizoram                       ,1504,CHAMPHAI,150402003,KHAWZAWL III,15040200306,"JOWAHAR NAVODAYA VIDYALAYA, KHAWZAWL",DINTHAR,"SDEO, KHAWZAWL",Central Govt.,Upper Primary only,Urban,23.54089,93.18201
2015-16,Mizoram                       ,1504,CHAMPHAI,150402004,KHAWZAWL IV,15040200401,GOVT. KHAWZAWL M/S-I,"ZAINGEN, ZUCHHIP","SDEO, KHAWZAWL",Department of Education,Upper Primary only,Urban,23.5259626,93.18894804
2015-16,Mizoram                       ,1504,CHAMPHAI,150402004,KHAWZAWL IV,15040200402,"GOVT. MODERN M/S, KHAWZAWL","ZAINGEN, ZUCHHIP","SDEO, KHAWZAWL",Department of Education,Upper Primary only,Urban,23.52271141,93.18686664
2015-16,Mizoram                       ,1504,CHAMPHAI,150402004,KHAWZAWL IV,15040200403,GOVT. KHAWZAWL P/S-III,"ZAINGEN, ZUCHHIP","SDEO, KHAWZAWL",Department of Education,Primary,Urban,23.526964,93.189395
2015-16,Mizoram                       ,1504,CHAMPHAI,150402004,KHAWZAWL IV,15040200404,GOVT. KHAWZAWL P/S-II,"ZAINGEN, ZUCHHIP","SDEO, KHAWZAWL",Department of Education,Primary,Urban,23.52198837,93.18495959
2015-16,Mizoram                       ,1504,CHAMPHAI,150402004,KHAWZAWL IV,15040200405,PRESBYTERIAN ENGLISH SCHOOL KHAWZAWL VENGLAI,"ZAINGEN, ZUCHHIP","SDEO, KHAWZAWL",Church                                                                     ,Primary with Upper Primary,Urban,23.5224704,93.18710268
2015-16,Mizoram                       ,1504,CHAMPHAI,150402004,KHAWZAWL IV,15040200408,GOVT. KHAWZAWL HIGH SCHOOL,"ZAINGEN, ZUCHHIP","DEO, CHAMPHAI",Department of Education,Secondary Only,Urban,23.524114,93.187843
2015-16,Mizoram                       ,1504,CHAMPHAI,150402004,KHAWZAWL IV,15040200409,"FAR EAST EXPERIMENTAL HIGH SCHOOL, KHAWZAWL","ZAINGEN, ZUCHHIP","DEO, CHAMPHAI",Pvt. Unaided,Secondary Only,Urban,23.5252664,93.19223886
2015-16,Mizoram                       ,1504,CHAMPHAI,150402004,KHAWZAWL IV,15040200410,KHAWZAWL HIGHER SECONDARY SCHOOL (ADHOC),"ZAINGEN, ZUCHHIP","DEO, CHAMPHAI",ADHOC AIDED                                                                ,Higher Secondary only/Jr. College,Urban,23.5248756,93.19371652
2015-16,Mizoram                       ,1504,CHAMPHAI,150402004,KHAWZAWL IV,15040200411,"FAR EAST EPERIMENTAL M/S, KHAWZAWL","ZAINGEN, ZUCHHIP","SDEO, KHAWZAWL",Pvt. Unaided,Primary with Upper Primary,Rural,23.5252664,93.19223886
2015-16,Mizoram                       ,1504,CHAMPHAI,150402004,KHAWZAWL IV,15040200412,"PES KHAWZAWL, VENGLAI","ZAINGEN, ZUCHHIP","DEO, CHAMPHAI",Pvt. Unaided,Secondary Only,Urban,23.522497,93.187033
2015-16,Mizoram                       ,1504,CHAMPHAI,150402005,KHAWZAWL V,15040200501,GOVT. KHAWZAWL P/S-I,"DARNGAWN, LUNGVAR","SDEO, KHAWZAWL",Department of Education,Primary,Urban,23.529694,93.186188
2015-16,Mizoram                       ,1504,CHAMPHAI,150402005,KHAWZAWL V,15040200504,"JAWAHAR NAVODAYA VIDYALAYA, KHAWZAWL","DARNGAWN, LUNGVAR","DEO, CHAMPHAI",Central Govt.,Secondary Only,Urban,23.5223376,93.17998946
2015-16,Mizoram                       ,1504,CHAMPHAI,150402005,KHAWZAWL V,15040200505,"NEW COMPREHENSIVE MIDDLE SCHOOL, KHAWZAWL","DARNGAWN, LUNGVAR","SDEO, KHAWZAWL",Pvt. Unaided,Primary with Upper Primary,Urban,23.530445,93.186768
2015-16,Mizoram                       ,1504,CHAMPHAI,150402006,TUALPUI,15040200601,GOVT. TUALPUI M/S,TUALPUI,"SDEO, KHAWZAWL",Department of Education,Upper Primary only,Rural,23.58909637,93.245143
