"code","Schname", "lat", "long", "Remarks"
"15010201602","TUIPUIBARI GOVT. P/S-III","23.718517","92.302949","Completed"
"15010201603","TUIPUIBARI GOVT. P/S-IV","23.71775","92.300488","Completed"
"15010201604","BODOLSURY P/S","23.713268","92.294435","Completed"
"15010201605","BORACHERRA P/S","23.718295","92.308729","Completed"
"15010201607","UGUDASURY P/S","23.711632","92.297188","Completed"
"15010201608","RAJIV NAGAR RMSA SECONDARY SCHOOL","23.7195603507","92.3007130623","Completed"
"15010201702","TEIREI FOREST UPS","23.688803","92.454579","Completed"
"15010201703","TEIREI GOVT PS","23.688827","92.455076","Completed"
"15010201704","KATHOIHMO ENGLISH SCHOOL","23.688135","92.455457","Completed"
"15010201801","W. PHAILENG GOVT. P/S-I","23.70035","92.489486","Completed"
"15010201802","W. PHAILENG GOVT. P/S-II","23.698423","92.48763","Completed"
"15010201803","W. PHAILENG GOVT. P/S-III","23.709813","92.477821","Completed"
"15010201804","W. PHAILENG GOVT. P/S-IV","23.68738","92.488034","Completed"
"15010201805","W. PHAILENG GOVT. P/S-V","23.7081657286","92.4821993709","Completed"
"15010201806","W. PHAILENG GOVT. M/S-I","23.700642","92.489606","Completed"
"15010201807","CHHIMVENG PRESBYTERIAN SCHOOL, W.PHAILENG","23.696688","92.488832","Completed"
"15010201808","W. PHAILENG HIGHER SECONDARY SCHOOL","23.697457806","92.4879580736","Completed"
"15010201809","GOSPEL CENTENARY HIGH SCHOOL, W. PHAILENG","23.7080085544","92.4823763967","Completed"
"15010201810","W.PHAILENG GOVT. HIGH SCHOOL","23.6976469214","92.4916997552","Completed"
"15010201811","ADVENTIST ENGLISH SCHOOL","23.708853","92.48481","Completed"
"15010202001","DAMPARENGPUI GOVT. M/S","23.715928423","92.413084209","Completed"
"15010202002","DAMPA ZODIN VENG P/S","23.712421","92.410278","Completed"
"15010202003","BCM COMPREHENSIVE SCHOOL, DAMPARENGPUI","23.721604","92.419722","Completed"
"15010202004","SYNOD HOME MISSION SCHOOL, DAMPARENGPUI","23.718606","92.41141","Completed"
"15010202006","DAMPARENGPUI BCM HIGH SCHOOL","23.7216770868","92.4197602272","Completed"
"15010202007","DAMPARENGPUI P/S","23.720219","92.411736","Completed"
"15010202008","UAINSOUHMO ENGLISH SCHOOL","23.721296","92.41743","Completed"
"15010202101","TUIRUM GOVT. P/S","23.758896","92.446887","Completed"
"15010202102","TUITUM UPS","23.759518","92.446621","Completed"
"15010202201","KHAWHNAI P/S, KHAWHNAI","23.736376","92.438238","Completed"
"15010202202","KHAWHNAI GOVT. M/S","23.73621","92.438519","Completed"
"15010202203","SALEM BOARDING SCHOOL, KHAWHNAI","23.7099805853","92.4396568537","Completed"
"15010202701","W.PHAILENG GOVT. MS-II","23.710022","92.477773","Completed"
"15010202703","PRESBYTERIAN ENGLISH MEDIUM SCHOOL, W.PHAILENG","23.711458","92.48621","Completed"
"15010202705","W. PHAILENG UPS","23.687162","92.488008","Completed"
"15010202706","BETHLEHEM UPGRADED P/S, W.PHAILENG","23.711126","92.47379","Completed"
"15010203401","ZOPUI GOVT. P/S","23.42782","92.510633","Completed"
"15010203501","KASHMIR VENG UPGRADED P/S, MARPARA","23.265763","92.403063","Completed"
"15010203502","MIZO VENG PRIMARY SCHOOL, MARPARA","23.266174","92.417452","Completed"
"15010203503","MIZO VENG UPS, MARPARA","23.265533","92.419423","Completed"
"15010203505","BCM COMPREHENSIVE SCHOOL, MARPARA","23.258898","92.41337","Completed"
"15010203506","MARPARA \'S\' GOVT. P/S","23.2639391826","92.4089831114","Completed"
"15010203507","PURANA BAZAR GOVT. P/S","23.262281","92.405195","Completed"
"15010203508","NEHRU MEMORIAL GOVT. M/S, MARPARA","23.260364","92.409497","Completed"
"15010203509","TAPARACHHORA GOVT. P/S","23.272791","92.403619","Completed"
"15010203510","MARPARA GOVT. P/S-I","23.2639391826","92.4089831114","Completed"
"15010203511","DAMPUI VENG GOVT. P/S","23.249073","92.413286","Completed"
"15010203512","TARABONIA GOVT. P/S","23.244073","92.404132","Completed"
"15010203513","PRESBYTERIAN MISSION SCHOOL, MARPARA","23.26808","92.407757","Completed"
"15010203514","MARPARA GOVT. HIGH SCHOOL","23.2671622288","92.4106326699","Completed"
"15010203515","BEKKABEKYA P/S","23.306935","92.393719","Completed"
"15010203601","SYNOD HOME MISSION SCHOOL, HRUIDUK","23.29485","92.433459","Completed"
"15010203602","HRUIDUK UPS","23.2951610091","92.4370497465","Completed"
"15010203603","HRUIDUK GOVT. P/S","23.294166","92.434813","Completed"
"15010300101","LENGTE GOVT. P/S","23.7718744167","92.599516511","Completed"
"15010300102","LENGTE GOVT. M/S","23.7721149716","92.5995379686","Completed"
"15010300201","HMUNPUI GOVT. P/S-I","23.864312869","92.5829780102","Completed"
"15010300202","HMUNPUI GOVT. P/S-II","23.8573807978","92.5798720121","Completed"
"15010300203","HMUNPUI GOVT. M/S","23.8589409141","92.580011487","Completed"
"15010300207","HMUNPUI HIGH SCHOOL","23.856743009","92.5797995925","Completed"
"15010300301","NGHALCHAWM GOVT. P/S","23.77236289","92.6253354549","Completed"
"15010300302","NGHALCHAWM UPS","23.7721247902","92.6286292076","Completed"
"15010300303","NGHALCHAWM RMSA SECONDARY SCHOOL","23.7735632009","92.625362277","Completed"
"15010300401","SAITLAW GOVT. P/S","23.970401263","92.5757038593","Completed"
"15010300402","SAITLAW UPS","23.9716021902","92.5756663084","Completed"
"15010300501","W. SERZAWL GOVT. P/S","23.9041932755","92.6320973039","Completed"
"15010300502","W. SERZAWL GOVT. M/S","23.9005395343","92.6299676299","Completed"
"15010300601","DAMPUI GOVT. P/S","23.8173215705","92.492839694","Completed"
"15010300602","DAMPUI GOVT. M/S","23.8170860068","92.4931615591","Completed"
"15010300604","DAMPUI HIGH SCHOOL","23.814654278","92.4938723445","Completed"
"15010300701","DAPCHHUAH GOVT. P/S","23.76992296","92.5196751952","Completed"
"15010300702","DAPCHHUAH GOVT. M/S","23.7688502601","92.520428896","Completed"
"15010300703","BCM P/S, DAPCHHUAH","23.7690564548","92.5202947855","Completed"
"15010300704","DILZAWL P/S","23.8323133353","92.5287276506","Completed"
"15010300705","DILZAWL UPS","23.8323133353","92.5287276506","Completed"
"15010300706","S.A. COMPREHENSIVE SCHOOL, DILZAWL","23.8331524303","92.5272631645","Completed"
"15010300707","DAPCHHUAH RMSA SECONDARY SCHOOL","23.770946558","92.5187310576","Completed"
"15010300801","TUAHZAWL GOVT. P/S","23.7693510181","92.5611501932","Completed"
"15010300802","TUAHZAWL GOVT. M/S","23.7660322326","92.5602811575","Completed"
"15010300901","RAWPUICHHIP GOVT. P/S-I","23.7844121345","92.5584518909","Completed"
"15010300902","RAWPUICHHIP GOVT. P/S-II","23.7795866799","92.5588944554","Completed"
"15010300903","RAWPUICHHIP GOVT. P/S-III","23.7887220025","92.559235096","Completed"
"15010300904","RAWPUICHHIP GOVT. M/S","23.7841421494","92.5588542223","Completed"
"15010300906","RAWPUICHHIP HIGH SCHOOL","23.7843507743","92.5603321195","Completed"
"15010400101","REIEK P/S I","23.6978900694","92.6062837243","Completed"
"15010400102","REIEK P/S II","23.6958122446","92.6104277372","Completed"
"15010400103","REIEK M/S I","23.6981626894","92.6063132286","Completed"
"15010400106","NAZARETH ENGLISH ACADEMY, REIEK","23.6975756962","92.6073271036","Completed"
"15010400107","R.M. ENGLISH MEDIUM SCHOOL, REIEK","23.6985089896","92.6083946228","Completed"
"15010400109","REIEK GOVERNMENT HIGH SCHOOL","23.6963746851","92.6063159108","Completed"
"15010400201","AILAWNG P/S","23.6913666691","92.6184207201","Completed"
"15010400202","AILAWNG M/S","23.6915729864","92.6186674833","Completed"
"15010400203","AILAWNG HIGH SCHOOL","23.6893403206","92.618702352","Completed"
"15010400301","BAWNGTHAH P/S","23.4946869107","92.6081559062","Completed"
"15010400302","BAWNGTHAH M/S","23.494777925","92.6067584753","Completed"
"15010400401","BAWLTE P/S","23.4797867817","92.5872185826","Completed"
"15010400402","BAWLTE M/S","23.4811250824","92.5874519348","Completed"
"15010400501","CHUNGTLANG P/S","23.6901238458","92.5706452131","Completed"
"15010400502","CHUNGTLANG M/S","23.6935354411","92.5704494119","Completed"
"15010400601","DARLUNG P/S","23.4597672343","92.6004445553","Completed"
"15010400602","DARLUNG M/S","23.4597623133","92.5977677107","Completed"
"15010400606","DARLUNG GOVT. HIGH SCHOOL","23.4588027159","92.5990739465","Completed"
"15010400701","HREICHUK P/S","23.5964753166","92.5984865427","Completed"
"15010400704","HREICHUK M/S","23.5989897676","92.6000529528","Completed"
"15010400801","KANGHMUN P/S I","23.554929515","92.5755536556","Completed"
"15010400802","KANGHMUN P/S II","23.5630627101","92.5775814056","Completed"
"15010400803","KANGHMUN M/S","23.554555789","92.5755858421","Completed"
"15010400804","KANGHMUN PRESBYTERIAN ENGLISH SCHOOL","23.5554999369","92.5753819942","Completed"
"15010400806","KANGHMUN GOVT. HIGH SCHOOL","23.5629938702","92.5772595406","Completed"
"15010400901","KHAWRIHNIM P/S","23.6255790403","92.6232165098","Completed"
"15010400902","KHAWRIHNIM M/S","23.6247189486","92.6227471232","Completed"
"15010400904","KHAWRIHNIM GOVT. HIGH SCHOOL","23.6264342116","92.6239997149","Completed"
"15010401001","LUNGPHUN P/S","23.5910087387","92.6052993536","Completed"
"15010401002","LUNGPHUN M/S","23.5909890744","92.6051545143","Completed"
"15010401003","LUNGPHUN RMSA SECONDARY SCHOOL","23.5904851741","92.6039582491","Completed"
"15010401101","S.SABUAL P/S","23.4529564024","92.5992321968","Completed"
"15010401102","S.SABUAL M/S","23.4510617082","92.598041296","Completed"
"15010401103","ST. MATHEW\'S ENGLISH SCHOOL, DARLUNG","23.4559730931","92.6010507345","Completed"
"15010401201","RULPUIHLIM P/S","23.7070360351","92.5605922937","Completed"
"15010401202","RULPUIHLIM M/S","23.707271798","92.5609087944","Completed"
"15010401203","RULPUIHLIM HIGH SCHOOL","23.7112968931","92.5619387627","Completed"
"15010401301","W.LUNGDAR P/S","23.6396419667","92.5958257914","Completed"
"15010401302","W.LUNGDAR M/S","23.6424406111","92.5951337814","Completed"
"15010401305","W. LUNGDAR HIGH SCHOOL","23.640207106","92.5953993201","Completed"
"15020100101","GOVT.KHIANGA M/S KOLASIB","24.2344645056","92.6768419147","Completed"
"15020100102","GOVT.M/S KOLASIB","24.2339117457","92.6758977771","Completed"
"15020100103","GOVT.D.S.GORKHA M/S","24.2333051746","92.6771718264","Completed"
"15020100104","GOVT. P/S - XIII","24.2371695704","92.6754042506","Completed"
"15020100105","GOVT. P/S - I","24.2338995165","92.6758655906","Completed"
"15020100106","GOVT. P/S - VII","24.2334788303","92.6770833135","Completed"
